Week,Anadolu Efes
8/7/2011,2
8/14/2011,1
8/21/2011,2
8/28/2011,2
9/4/2011,3
9/11/2011,2
9/18/2011,3
9/25/2011,4
10/2/2011,5
10/9/2011,5
10/16/2011,8
10/23/2011,6
10/30/2011,5
11/6/2011,9
11/13/2011,12
11/20/2011,8
11/27/2011,4
12/4/2011,5
12/11/2011,3
12/18/2011,6
12/25/2011,7
1/1/2012,9
1/8/2012,3
1/15/2012,7
1/22/2012,4
1/29/2012,13
2/5/2012,23
2/12/2012,17
2/19/2012,12
2/26/2012,6
3/4/2012,10
3/11/2012,4
3/18/2012,4
3/25/2012,3
4/1/2012,3
4/8/2012,5
4/15/2012,3
4/22/2012,4
4/29/2012,2
5/6/2012,3
5/13/2012,4
5/20/2012,7
5/27/2012,19
6/3/2012,26
6/10/2012,15
6/17/2012,3
6/24/2012,3
7/1/2012,3
7/8/2012,4
7/15/2012,2
7/22/2012,2
7/29/2012,2
8/5/2012,2
8/12/2012,2
8/19/2012,3
8/26/2012,3
9/2/2012,2
9/9/2012,5
9/16/2012,4
9/23/2012,3
9/30/2012,6
10/7/2012,4
10/14/2012,7
10/21/2012,5
10/28/2012,11
11/4/2012,6
11/11/2012,6
11/18/2012,4
11/25/2012,4
12/2/2012,5
12/9/2012,4
12/16/2012,5
12/23/2012,5
12/30/2012,6
1/6/2013,7
1/13/2013,4
1/20/2013,6
1/27/2013,5
2/3/2013,7
2/10/2013,8
2/17/2013,100
2/24/2013,56
3/3/2013,17
3/10/2013,10
3/17/2013,11
3/24/2013,9
3/31/2013,8
4/7/2013,11
4/14/2013,26
4/21/2013,29
4/28/2013,10
5/5/2013,5
5/12/2013,5
5/19/2013,5
5/26/2013,7
6/2/2013,5
6/9/2013,4
6/16/2013,3
6/23/2013,2
6/30/2013,3
7/7/2013,3
7/14/2013,3
7/21/2013,3
7/28/2013,3
8/4/2013,2
8/11/2013,2
8/18/2013,3
8/25/2013,2
9/1/2013,3
9/8/2013,3
9/15/2013,2
9/22/2013,4
9/29/2013,3
10/6/2013,5
10/13/2013,6
10/20/2013,9
10/27/2013,6
11/3/2013,5
11/10/2013,6
11/17/2013,4
11/24/2013,5
12/1/2013,4
12/8/2013,4
12/15/2013,7
12/22/2013,6
12/29/2013,6
1/5/2014,5
1/12/2014,5
1/19/2014,18
1/26/2014,13
2/2/2014,13
2/9/2014,7
2/16/2014,12
2/23/2014,7
3/2/2014,5
3/9/2014,5
3/16/2014,3
3/23/2014,3
3/30/2014,5
4/6/2014,5
4/13/2014,2
4/20/2014,3
4/27/2014,2
5/4/2014,2
5/11/2014,4
5/18/2014,3
5/25/2014,3
6/1/2014,3
6/8/2014,2
6/15/2014,2
6/22/2014,7
6/29/2014,5
7/6/2014,4
7/13/2014,3
7/20/2014,2
7/27/2014,1
8/3/2014,2
8/10/2014,2
8/17/2014,2
8/24/2014,2
8/31/2014,4
9/7/2014,4
9/14/2014,4
9/21/2014,6
9/28/2014,3
10/5/2014,6
10/12/2014,10
10/19/2014,8
10/26/2014,7
11/2/2014,5
11/9/2014,11
11/16/2014,6
11/23/2014,6
11/30/2014,6
12/7/2014,6
12/14/2014,5
12/21/2014,7
12/28/2014,11
1/4/2015,8
1/11/2015,10
1/18/2015,4
1/25/2015,9
2/1/2015,6
2/8/2015,16
2/15/2015,8
2/22/2015,9
3/1/2015,5
3/8/2015,4
3/15/2015,4
3/22/2015,5
3/29/2015,5
4/5/2015,10
4/12/2015,14
4/19/2015,35
4/26/2015,5
5/3/2015,3
5/10/2015,3
5/17/2015,3
5/24/2015,6
5/31/2015,4
6/7/2015,11
6/14/2015,19
6/21/2015,4
6/28/2015,3
7/5/2015,2
7/12/2015,2
7/19/2015,3
7/26/2015,2
8/2/2015,2
8/9/2015,2
8/16/2015,1
8/23/2015,1
8/30/2015,1
9/6/2015,2
9/13/2015,3
9/20/2015,3
9/27/2015,4
10/4/2015,6
10/11/2015,5
10/18/2015,9
10/25/2015,5
11/1/2015,4
11/8/2015,11
11/15/2015,4
11/22/2015,3
11/29/2015,4
12/6/2015,4
12/13/2015,4
12/20/2015,11
12/27/2015,6
1/3/2016,4
1/10/2016,5
1/17/2016,3
1/24/2016,5
1/31/2016,15
2/7/2016,7
2/14/2016,5
2/21/2016,4
2/28/2016,4
3/6/2016,4
3/13/2016,4
3/20/2016,4
3/27/2016,6
4/3/2016,6
4/10/2016,2
4/17/2016,4
4/24/2016,7
5/1/2016,3
5/8/2016,3
5/15/2016,4
5/22/2016,5
5/29/2016,24
6/5/2016,49
6/12/2016,15
6/19/2016,3
6/26/2016,2
7/3/2016,2
7/10/2016,2
7/17/2016,2
7/24/2016,2
7/31/2016,2
8/7/2016,1
8/14/2016,1
8/21/2016,2
8/28/2016,2
9/4/2016,3
